abide[əbʌid]--abode[əbəud]--abode[əbəud]		|Выносить, терпеть
arise[ə'raiz]--arose[ə'rəuz]--arisen[ə'riz(ə)n]	|Возникать, происходить
awake[ə'weik]--awoke[ə'wəuk]--awoken[ə'wəukən]	|Будить, проснуться
be[bi:]--was[wɔz],were[wз:]--been[bi:n]			|Быть
bear[bɛə]--bore[bɔ:]--borne[bɔ:n]				|Нести, выносить
beat[bi:t]--beat[bi:t]--beaten['bi:tn]			|Бить
become[bi:kʌm]--became[bi:keim]--become[bi:kʌm]	|Становиться
begin[bi'gin]--began[bi'gæn]--begun[bi'gʌn]	|Начинать
behold[bˈhəʊld]--beheld[bɪˈhɛld]--beheld[bɪˈhɛld]|Созерцать, увидеть
bend[bɛnd]--bent[bɛnt]--bent[bɛnt]		|Сгибать
bereave[bɪˈriːv]--bereft[bɪˈrɛft]/bereaved[bɪˈriːvd]--bereft[bɪˈrɛft]/bereaved[bɪˈriːvd]|Лишать, отнимать
beseech[bɪˈsiːtʃ]--besought[bɪˈsɔːt]/beseeched[bɪˈsiːtʃt]--besought[bɪˈsɔːt]/beseeched[bɪˈsiːtʃt]|Просить, умолять
beset[bɪˈsɛt]--beset[bɪˈsɛt]--beset[bɪˈsɛt]	|Окружать
bet[bet]--bet[bet]--bet[bet]			|Поспорить
bid[bɪd]--bid[bɪd]/bade[beɪd]--bidden[bɪdn]	|Предложить, приказать
bind[baɪnd]--bound--[baʊnd]--bound[baʊnd]	|Связывать
bite[bʌɪt]--bit[bɪt]--bitten[bɪtn]		|Кусать, клевать
bleed[bli:d]--bled[bled]--bled[bled]		|Кровоточить
blow[blou]--blew[blu:]--blown[bloun]		|Дуть
break[breik]--broke[brouk]--broken['brouk(e)n]	|Ломать
breed[bri:d]--bred[brɛd]--bred[brɛd]		|Разводить, размножать
bring[briŋ]--brought[brɔ:t]--brought[brɔ:t]	|Приносить
browbeat['braubi:t]--browbeat['braubi:t]--browbeaten['braubi:tn]/browbeat['braubi:t]|Запугивать, стращать
build[bild]--built[bilt]--built[bilt]		|Строить
burn[bз:n]--burnt[bз:nt]--burnt[bз:nt]		|Гореть
burst[bз:st]--burst[bз:st]--burst[bз:st]	|Разразиться
bust[bʌst]--busted[bʌstɪd/bust[bʌst]--busted[bʌstɪd/bust[bʌst]|Обанкротиться, разориться
buy[bai]--bought[bɔ:t]--bought[bɔ:t]		|Покупать
cast[kɑ:st]--cast[kɑ:st]--cast[kɑ:st]		|Бросать, выкинуть
catch[kætʃ]--caught[kɔ:t]--caught[kɔ:t]		|Ловить, хватать, успеть
choose[tʃu:z]--chose[ʃəuz]--chosen[tʃəuz(ə)n]	|Выбирать
cleave[kli:v]--cleft[klɛft]--cleft[klɛft]	|Раскалывать, разрезать
cling[klɪŋ]--clung[klʌŋ]--clung[klʌŋ]		|Цепляться, держаться
clothe[kloʊð]--clothed[kloʊðd]/ clad[klæd]--clothed[kloʊðd]/ clad[klæd]	|Одевать
come[kʌm]--came[keim]--come[kʌm]		|Приходить
cost[kɔst]--cost[kɔst]--cost[kɔst]		|Стоить
creep[kri:p]--crept[krept]--crept[krept]	|Ползать
cut[kʌt]--cut[kʌt]--cut[kʌt]			|Резать
deal[di:l]--dealt[dɛlt]--dealt[dɛlt]		|Иметь дело
dig[dɪg]--dug[dʌg]--dug[dʌg]			|Копать
disprove[dɪsˈpruːv]--disproved[dɪsˈpruːvd]--disproved[dɪsˈpruːvd]/disproven[dɪsˈpru:vən]|Опровергать
dive[daɪv]--dove[doʊv/ dived[daɪvd]--dived[daɪvd]|Нырять, погружаться
do[du:]--did[did]--done[dʌn]			|Делать
draw[drɔ:]--drew[dru:]--drawn[drɔ:n]		|Рисовать, тащить
dream[dri:m]--dreamt[dremt]--dreamt[dremt]	|Мечтать, дремать
drink[driŋk]--drank[dræŋk]--drunk[drʌŋk]	|Пить
drive[draiv]--drove[drouv]--driven['drivn]	|Водить
dwell[dwel]--dwelt[dwɛlt]/ dwelled[dwɛld]--dwelt[dwɛlt]/ dwelled[dwɛld]	|Проживать, обитать
eat[i:t]--ate[eit]--eaten['i:tn]		|Есть
fall[fɔ:l]--fell[fel]--fallen['fɔ:lən]		|Падать
feed[fi:d]--fed[fed]--fed[fed]			|Кормить
feel[fi:l]--felt[felt]--felt[felt]		|Чувствовать
fight[fait]--fought[fɔ:t]--fought[fɔ:t]		|Бороться
find[faind]--found[faund]--found[faund]		|Находить
fit[fit]--fit[fit]--fit[fit]			|Подходить по размеру
flee[fli:]--fled[flɛd]--fled[flɛd]		|Убегать, исчезать
fling[flɪŋ]--flung[flʌŋ]--flung[flʌŋ]		|Бросать, кидать
fly[flai]--flew[flu:]--flown[floun]		|Летать
forbid[fəˈbɪd]--forbade[fəˈbeɪd]--forbidden[fəbɪdn]|Запрещать
forgo (forego) [fɔːˈɡəʊ]--forewent[fɔːˈwɛnt]--foregone[fɔːˈɡɒn]	|Отказываться, воздерживаться
forecast['fɔ:ka:st]--forecast['fɔ:ka:st]--forecast['fɔ:ka:st]	|Прогнозировать
foresee[fɔːˈsiː]--foresaw[fɔːˈsɔː]--foreseen[fɔːˈsiːn]	|Предвидеть, предугадывать
