arise---arose---arisen     |    Возникать
be---was-were---been    |   Быть
Штbear---bore---born-borne    |   Родить
beat---beat---beaten-beat    |   Бить
become---became---become    |   Становиться
begin---began---begun   |   Начинать
bleed---bled---bled |   Кровоточить
blow---blew---blown |   Дуть
break---broke---broken  |   Ломать
bring---brought---brought   |   Приносить
build---built---built   |   Строить
burn---burnt-burned---burnt-burned    |   Гореть
burst---burst---burst   |   Разразиться
buy---bought---bought   |   Покупать
catch---caught---caught |   Ловить,хватать,успеть
choose---chose---chosen |   Выбирать
come---came---come  |   Приходить
cost---cost---cost  |   Стоить
creep---crept---crept   |   Ползать (crawl)
cut---cut---cut |   Резать
deal---dealt---_dealt   | Иметь дело
dig---dug---dug     |   Копать
do---did---done |   Делать
draw---drew---drawn	|	Рисовать,тащить
dream---dreamt-dreamed---dreamt-dreamed	|	Мечтать
drink---drank---drunk	|	Пить
drive---drove---driven	|	Водить
eat---ate---eaten	|	Есть
fall---fell---fallen	|	Падать
feed---fed---fed	|	Кормить
feel---felt---felt	|	Чувствовать
fight---fought---fought	|	Бороться
find---found---found	|	Находить
fit---fit---fit	|	Подходить по размеру
fly---flew---flown	|	Летать
forget---forgot---forgotten	|	Забывать
forgive---forgave---forgiven	|	Прощать
freeze---froze---frozen	|	Замерзать
get---got---got	|	Получать
give---gave---given	|	Давать
go---went---gone	|	Идти
grow---grew---grown	|	Расти
hang---hung-hanged---hung-hanged	|	Вешать
have-has---had---had	|	Иметь
hear---heard---heard	|	Слышать
hide---hid---hidden	|	Прятать---скрывать
hit---hit---hit	|	Ударять---поражать
hold---held---held	|	Держать---Владеть
hurt---hurt---hurt	|	Ушибить
keep---kept---kept	|	Хронить---Сохранять
kneel---knelt---knelt	|	Стоять на коленях
know---knew---known	|	Знать
lay---laid---laid	|	Класть
lead---led---led	|	Вести
lean---leant---leant	|	Наклоняться, опираться
learn---learnt-learned---learnt-learned	|	Изучать
leave---left---left	|	Оставлять
lend---lent---lent	|	Занимать
let---let---let	|	Позволять
lie---lay---lain	|	Лежать
light---lit-lighted---lit-lighted	|	Освещать
lose---lost---lost	|	Терять
make---made---made	|	Производить
mean---meant---meant	|	Значить
meet---met---met	|	Встречать
mistake---mistook---mistaken	|	Ошибаться
pay---paid---paid	|	Платить
prove---proved---proven	|	Доказывать
put---put---put	|	Положить
quit---quit---quit	|	Выходить
read---read---read	|	Читать
ride---rode---ridden	|	Ездить верхом
ring---rang---rung	|	Звенеть
rise---rose---risen	|	Подниматься
run---ran---run	|	Бежать
say---said---said	|	Говорить
see---saw---seen	|	Видеть
seek---sought---sought	|	Искать
sell---sold---sold	|	Продавать
send---sent---sent	|	Посылать
set---set---set	|	Ставить
sew---sewed---sewn	|	Шить
shake---shook---shaken	|	Встряхивать
show---showed---showed-shown	|	Показывать
shrink---shrank---shrunk	|	Уменьшать
shut---shut---shut	|	Закрывать
sing---sang---sung	|	Петь
sink---sank-sunk---sunk	|	Тонуть
shine---shinde-shone---shined-shone    |    светить
sit---sat---sat	|	Сидеть
sleep---slept---slept	|	Спать
slide---slid---slid	|	Скользить
sow---sowed---sown	|	Сеять
smell__smelled-smelt---smelled-smelt    |   пахнуть
speak---spoke---spoken	|	Говорить
spell---spelt---spelt	|	Произносить по буквам
spend---spent---spent	|	Тратить
spill---spilt---spilt	|	Проливать
spoil---spoiled-spoilt---spoiled-spoilt	|	Портить
spread---spread---spread	|	распространяться
spring---sprang---sprung	|	Прыгать
stand---stood---stood	|	Стоять
steal---stole---stolen	|	Красть
stick---stuck---stuck	|	Колоть
sting---stung---stung	|	Жалить
sweep---swept---swept	|	Выметать
swell---swelled---swollen	|	Разбухать
swim---swam---swum	|	Плавать
swing---swung---swung	|	Качать
take---took---taken	|	Брать,взять
teach---taught---taught	|	Обучать
tear---tore---torn	|	Рвать
tell---told---told	|	Рассказывать
think---thought---thought	|	Думать
throw---threw---thrown	|	Бросать
understand---understood---understood	|	Понимать
wake---woke-waked---woken-waked	|	Просыпаться
wear---wore---worn	|	Носить
weep---wept---wept	|	Плакать
wet---wet---wet	|	Мочить
win---won---won	|	Выигрывать
wind---wound---wound	|	Извиваться
write---wrote---written	|	Писать
