get up/wake up      |вставать, просыпаться
go to the bed       |пойти спать
go shopping         |пойти за покупками
feed                |кормить
+food               |еда
+to have bread      |употреблять(есть) в пищу
collect             |собирать
pick up dirty socks |подбирать/собирать грязные вещи
put away your clothes|убирать вещи
take out the rubbish|вынести мусро
pick vegetables     |собирать овощи
to water plants     |поливать цветы
to walk             |идти пешком
go for a walk       |прогуливаться
have lessons        |иметь уроки
have lunch/dinner   |обедать/ужинать
have a shower       |принимать душ
cook lunch/dinner   |Готовить обед/ужин
+make breakfast     |готовить завтрак
together            |вместе, совместно
alone               |один, сам, в одиночку
after dinner        |после ужина
before              |до того как, перед
all                 |все, вся
to get out          |вытащить
so that             |для того, что бы
to keep             |хранить, держать
cupboard            |шкаф
village             |деревня
look after          |ухаживать, присматривать
but                 |но
during the day      |в течении дня
all morning         |все утро
need a break        |нужно отдохнуть
to do exercise      |делать упражнение
at lunchtime        |в обеденное время
take off            |снять
to wear             |носить
slippers            |тапочки
to grow             |выращивать
to make             |делать (руками)
busy day            |насыщенный день
and then            |затем
brash teeth         |чистить зубы
at bead time        |время сна
shoes               |обувь
indoors             |внутри
in the evenings     |по вечерам

only                 |всего лишь, только
come here            |иди сюда
to give              |давать
things               |вещи
something            |что-то, чтонибудь 
to lay               |лежать
to stand             |стоять
to hear              |слЫшать
to listen            |слУшать
to listen to music   |слушать музыку
fight with pillow    |драться подушками

to light a fire      |разжечь огонь
get dressed          |одеваться
put on               |одеваться
complete             |завершать, закончить

boil                 |варить в воде
with                 |c
invite               |приглашать
bake                 |запекать
speak to             |разговаривать с
try                  |пытаться
hair                 |волосы
for Christmas        |на рождество
look at              |смотреть на
peel                 |кожура
pill                 |таблетка
skin                 |кожа
example              |пример
task                 |задача
answer               |ответ
question             |вопров    [ˈkwestʃ(ə)n]
ask                  |спрашивать, просить
asl question         |задавать вопросы
arrange              |расположить в определенном порядке [əˈreɪndʒ]
>put in oreder       |раставить по порядку
>run over            |пробежаться по
run away             |убегать
>easy                |легкий
>difficult           |сложный   [ˈdɪfɪk(ə)lt]
catch                |ловить    [kætʃ]
throw                |бросить   [θrəʊ]

chew                 |жевать    [tʃuː]

it sound goods       |звучит хорошо
>just a moment       |одну минутку (подождите)
what are you talking about  |о чем ты говоришь?
what is it about     |о чем то


good at              |хорош в 
on holidays          |на выходных/на каникулах
years old            |лет
be late for school   |опаздывать в школу
chase                |погоня, предследование
want                 |хотеть
free time            |свободное время
everywhere           |везде
adventure            |приключения
famous               |знаменитый
important            |важный
late                 |опоздавший, поздно

have a shower        |принимать душ
brush my teeth       |чистить зубы
get dressed          |одеваться
have breakfast       |принимать завтрак/завтракать
brash my hair        |расчетываться
get up               |просыпаться
catch the bus        |поймать автобус
walk to school       |идит в школу


------------
flour	|мука
loaf	|буханка
jar		|банка(стеклянная)
tin 	|олово, банка(жестеная-консервы)
can		|банка(жестеная-колла)
