back away;отступать
be back;возвращаться
be off;покидать
be out;отсутствовать
be over;окончиться
be up to;собираться
blow out;разбиться вдребезги
blow up;взорвать
break down;сломаться
break up;разрывать отношения
call back;перезвонить
call off;отозвать
calm down;успокоиться
carry around;носить с собой
carry on;продолжаться
carry out;осуществлять
carry over;переносить
check in;регистрироваться
clean up;прибираться
come across;натолкнуться
come along;идти вместе
come from;происходить из
come in;войдите
come off;Отрываться
come on;давай!
come over;приходить
count on;рассчитывать на
cut off;отрезать
end up;закончить
figure out;выяснить
find out;обнаружить
get around;преодолеть
get back;перезванивать
get down;спускаться
get on;ладить
get out;выбираться
get over;справиться
get up;вставать вертикально или вставать из постели
give up;сдаваться
go away;уходить
go in;входить
go on;продолжать
go out;выйти
go through;пройти через
go up;подниматься
grow up;вырастать
hang up;вешать трубку
hold out;протягивать
hold up;поднимать
keep up;поддерживать
let in;впустить
let out;выпускать
lie down;лечь
look for;искать
look forward to;предвкушать
look out;высматривать
look over;просматривать
make up;составить
move in;въехать
move on;идти дальше
pick up;взять
point out;указывать
pull on;натягивать
pull up;останавливать (что-либо)
put away;отказаться от мысли
put down;опустить
put in;вставить
put on;надеть
put up;строить
run away;убегать
run into;столкнуться
run off;сбегать
set down;высаживать
settle down;поселяться
show up;появляться
shut down;закрыть
shut up;заставить замолчать
sit down;садиться
sit up;приподняться
spread out;рассыпаться
stand by;быть наготове
stand up;вставать
switch on;включить питание
take away;забирать
take back;взять обратно
take off;взлететь
take on;приобретать
take out;вынимать
take over;перенимать
turn into;превращаться
turn off;выключить
turn on;включaть
turn out;оказаться
turn over;переворачивать
wake up;проснуться
walk in;входить без ведома хозяев
walk over;легко побеждать
work up;обрабатывать
write down;записывать
