abasement;унижение
abhor;ненавидеть
abrasive;резкий
abrogate;отменять
absolution;освобождение
abstain;воздерживаться
abstemious;скромный
abstruse;глубокомысленный
accolade;похвала
affable;приветливый
affinity;эмоциональное родство
affliction;страдание
affluent;изобильный
alacrity;готовность
alleviate;облегчать
ambiguous;двусмысленный
ambivalent;двойственный
amiable;дружелюбный
animosity;враждебность
annex;приложение
bellicose;воинственный
belligerent;воюющая сторона
beneficiary;глава церковного прихода
bigot;фанатик
bilk;обманывать
billow;лавина
blasphemy;богохульство
blatant;вульгарный
blighted;разрушенный
blithe;веселый
blunderbuss;мушкетон
bolster;подушечка
brazen;медный
brusque;отрывистый
capricious;капризный
charisma;личное обаяние
chastise;наказывать
coherent;связанный
complicity;соучастие
comprehensive;всесторонний
concoct;состряпать
condone;мириться
counterfeit;подделка
covert;убежище
cower;сжиматься
creditable;похвальный
credulous;доверчивый
crepuscular;мрачный
cringe;раболепствовать
cryptic;загадочный
enfranchise;предоставлять права
engender;порождать
enhance;усиливать
ensconce;укрывать
enshroud;закутывать
enunciation;провозглашение
envenom;отравлять
ephemeral;эфемерный
hamper;препятствовать
hangar;укрытие
hasten;спешить
haughtiness;высокомерие
headstrong;своевольный
hedonism;жизнелюбие
kindle;зажигать
knotty;затруднительный
laceration;мука
lachrymose;плачущий
lackluster;тусклый
laconic;краткий
lamentation;стенания
noxious;вредный
nullify;аннулировать
obdurate;ожесточенный
obfuscate;затемнять
objective;непредвзятый
oblique;наклонный
obliterate;вычеркивать
oblivious;рассеянный
placid;безмятежный
plaintiff;истец
plausible;правдоподобный
plethora;изобилие
pliable;гибкий
plumage;оперение
plummet;бросать
remuneration;вознаграждение
renown;известность
replete;наполненный
reprieve;передышка
repudiate;отрекаться
rescind;расторгать
resignation;отставка
resolution;Решительность
tangent;неустойчивый
tangible;вещественный
tedium;скука
temper;характер
tenacious;крепкий
tentative;предварительный
