awake|бодрствующий [ə'weɪk] 
bad|плохой [bæd] 
bent|изогнутый [bent] 
bitter|горький ['bitə] 
blue|голубой [blu:] 
certain|определенный ['sə:tn] 
cold|холодный [kəʊld] 
complete|законченный [kəm'pli:t] 
cruel|жестокий [kruəl] 
dark|темный [da:k] 
dead|мертвый [ded] 
dear|милый [diə] 
delicate|утонченный ['delikit] 
different|непохожий ['difrənt] 
dirty|грязный ['də:ti] 
dry|сухой [drai] 
false|ложный [fɔ:ls] 
feeble|слабый ['fi:bl] 
female|женский ['fiːmeɪl] 
foolish|глупый ['fu:liʃ] 
future|будущий ['fju:tʃə] 
green|зеленый [gri:n] 
ill|больной [il] 
last|последний [la:st] 
late|поздний [leɪt] 
left|левый [left] 
loose|свободный [lu:s] 
loud|громкий [laud] 
low|низкий [ləʊ] 
mixed|смешанный [mikst] 
narrow|узкий ['nærəʊ] 
old|старый [əʊld] 
opposite|противоположный ['ɔpəzit] 
public|общественный ['pʌblik] 
rough|грубый [rʌf] 
sad|грустный [sæd] 
safe|безопасный [seɪf] 
secret|секретный ['si:krit] 
short|короткий [ʃɔ:t] 
simple|простой ['simpl] 
slow|медленный [sləʊ] 
small|маленький [smɔ:l] 
soft|мягкий [sɔft] 
solid|твердый ['sɔlid] 
special|специальный ['speʃəl] 
strange|чужой [streɪnʤ] 
thin|тонкий [θin] 
white|белый [wait] 
wrong|неправильный [rɔŋ]
picky|П.разборчивый,требовательный ['pɪkɪ]
--------------------------------
worried		|
angry		|
frightened	|
hungry		|
thirsty		|
bored		|
happy		|
sad			|
tired		|
stressed	|
